ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
225,2,131.520253047943,-22.0178760741583,52,760170.762805633,-2436951.70832649,18673,354565,760185,-2436945,52KGA
226,5,100.170839506713,16.0069094260448,47,625273.096303725,1770052.65205537,14176,244332,625275,1770045,47PPT
227,1,-41.447312445697,63.8687716665291,24,379757.944912351,7084697.15767291,5992,73843,379755,7084695,24VUR
228,1,32.2153704323208,34.6924960637426,36,428133.635123817,3839223.00104065,7605,135359,428145,3839235,36SVD
229,5,101.754932926236,52.9746287493831,47,684973.383711059,5872999.72682394,16166,107567,684975,5872995,47UPU
230,5,74.6614873845952,32.523124015369,43,468208.467116029,3598472.93661824,8940,180050,468195,3598485,43SDS
231,5,-67.3425749402817,-34.9043903056107,19,651425.841894264,-3863693.84769333,15048,438789,651435,-3863685,19HFB
232,2,49.164915649273,51.8005837764055,39,373466.517455032,5740451.60502103,5782,111985,373455,5740455,39UUT
233,6,-108.969662249181,40.9818976584774,12,670806.292325429,4538732.72538332,15694,142042,670815,4538745,12TXL
234,2,137.347365558496,-17.8924295255372,53,748705.33184573,-1979850.28237291,18290,349329,748695,-1979865,53KQA
235,5,40.1198041362844,37.9879079441331,37,598333.485420766,4205064.87172669,13278,159831,598335,4205055,37SEC
236,6,-63.173621883295,-16.6029127756309,20,481480.6245954,-1835636.132726,9383,367855,481485,-1835625,20KMG
237,5,-4.9727152928844,14.1843202183685,30,287098.566699962,1569009.73556643,2903,181033,287085,1569015,30PTA
238,3,117.682885935423,32.8569835465401,50,563895.705983815,3635638.90058579,12130,162146,563895,3635625,50SNB
239,3,42.8711860106826,57.315243062649,38,371786.801243888,6354483.27161517,5726,91517,371775,6354495,38VLJ
240,2,-101.76789307241,37.763219805711,14,256183.185772578,4183152.46482776,1873,163895,256185,4183155,14SKG
241,2,136.790982697121,-18.4284822859483,53,689159.75194321,-2038527.0168265,16305,351284,689145,-2038515,53KPV
242,4,45.0799713566101,-24.2053275258162,38,508121.01677577,-2676961.78152737,10271,392566,508125,-2676975,38KNU
243,1,8.91165040631947,14.1287996938659,32,490464.393070884,1561972.78382784,9682,201268,490455,1561965,32PMA
244,2,138.061964524344,-24.8315819233285,53,809497.82441601,-2749774.48395915,20317,374993,809505,-2749785,53JRN
245,6,-96.4990965582511,29.0849815708042,14,743429.38112562,3219984.50264599,18114,196001,743415,3219975,14RQT
246,6,109.909855005878,40.3739119376602,49,407454.182513468,4469829.47829871,6915,144339,407445,4469835,49TDE
