time,burst_id,site_id,dist_hls_change_time,dist_hls_change_label,site_lon,site_lat,x,y,vv,vh,vv/vh
2020-10-11 13:28:43,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.16498254,0.020546015,8.029904
2020-10-23 13:28:43,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.09640891,0.019055296,5.0594287
2020-11-04 13:28:43,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.13953225,0.01690878,8.252059
2020-11-16 13:28:43,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.0932495,0.018406762,5.0660458
2020-11-28 13:28:42,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.1320911,0.015673857,8.427479
2020-12-10 13:28:42,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.13672541,0.022677965,6.028998
2020-12-22 13:28:41,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.11889217,0.019576183,6.073307
2021-01-03 13:28:41,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.11404292,0.018437942,6.1852303
2021-01-09 13:27:59,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.065124676,0.012744338,5.110087
2021-01-15 13:28:40,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.07821941,0.009390247,8.329856
2021-01-21 13:27:59,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.08890929,0.060160846,1.4778597
2021-01-27 13:28:40,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.095989026,0.029088134,3.2999375
2021-02-02 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.055464003,0.014252763,3.8914561
2021-02-08 13:28:39,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.059163935,0.012410881,4.767102
2021-02-14 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.061485678,0.022891346,2.6859791
2021-02-20 13:28:39,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.085137196,0.032107245,2.6516507
2021-02-26 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.09681233,0.021224178,4.561417
2021-03-04 13:28:39,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.09496313,0.02097016,4.5284886
2021-03-10 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.10494238,0.01379821,7.605507
2021-03-16 13:28:39,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.082228296,0.017129177,4.8004813
2021-03-22 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.09677466,0.017564032,5.5098205
2021-03-28 13:28:39,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.09133832,0.0148198735,6.1632323
2021-04-03 13:27:58,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.14577946,0.02338963,6.2326536
2021-04-09 13:28:40,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.14842457,0.036358707,4.082229
2021-04-15 13:27:59,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.12874049,0.021362282,6.0265326
2021-04-21 13:28:40,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.16555691,0.030134244,5.493979
2021-04-27 13:27:59,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.16123852,0.023584852,6.836529
2021-05-03 13:28:40,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.10934516,0.027921323,3.9161885
2021-05-09 13:28:00,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.17521001,0.01870603,9.3665
2021-05-15 13:28:41,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.20484209,0.035628222,5.7494335
2021-05-21 13:28:00,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.1640251,0.04035233,4.0648236
2021-05-27 13:28:42,T027-056738-IW1,115,NaT,noChange,-111.342579698392,30.8574857474416,625273.0963037219,1770052.6520553674,0.15558875,0.019575257,7.948235
