,datetime,burst_id,site_id,site_lon,site_lat,vv,vh,vv/vh
0,2020-10-06 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1851707398891449, 0.11188523471355438, 0.12793885171413422, 0.22367754578590393, 0.09794000536203384, 0.15747225284576416, 0.2524198293685913, 0.16790339350700378, 0.2917352318763733]","[0.05121515318751335, 0.059563081711530685, 0.05135200172662735, 0.04017021879553795, 0.04360318183898926, 0.04173332825303078, 0.03031245619058609, 0.06685473769903183, 0.024410659447312355]","[3.6155459880828857, 1.8784326314926147, 2.4914093017578125, 5.568243026733398, 2.246166467666626, 3.7732973098754883, 8.327263832092285, 2.5114657878875732, 11.951141357421875]"
1,2020-10-12 14:07:36,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1696869432926178, 0.22505764663219452, 0.10701669007539749, 0.20342779159545898, 0.2752349376678467, 0.08654790371656418, 0.23112736642360687, 0.17036792635917664, 0.15759646892547607]","[0.03398175910115242, 0.08379495143890381, 0.04908278211951256, 0.03529457747936249, 0.04296647012233734, 0.022394564002752304, 0.02823885902762413, 0.05549635365605354, 0.020771481096744537]","[4.993471622467041, 2.6858139038085938, 2.180330514907837, 5.763712406158447, 6.4058074951171875, 3.8646836280822754, 8.184727668762207, 3.0698940753936768, 7.587156295776367]"
2,2020-10-18 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.22343751788139343, 0.287421315908432, 0.15320731699466705, 0.12673059105873108, 0.35344207286834717, 0.17589111626148224, 0.1816122680902481, 0.20280422270298004, 0.09212344884872437]","[0.06661340594291687, 0.07507878541946411, 0.054935239255428314, 0.047211892902851105, 0.05398809537291527, 0.020794283598661423, 0.10691698640584946, 0.04931158944964409, 0.04206022620201111]","[3.3542425632476807, 3.8282628059387207, 2.7888712882995605, 2.684293746948242, 6.546666622161865, 8.45862865447998, 1.6986287832260132, 4.112709045410156, 2.190274715423584]"
3,2020-10-24 14:07:36,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.09199357032775879, 0.11913375556468964, 0.09548639506101608, 0.08420059829950333, 0.2114102989435196, 0.16570307314395905, 0.11570807546377182, 0.18625664710998535, 0.23318204283714294]","[0.05334727093577385, 0.057024355977773666, 0.04650026187300682, 0.037774570286273956, 0.03638816624879837, 0.02967080846428871, 0.03661850467324257, 0.06275065988302231, 0.02443353272974491]","[1.7244287729263306, 2.0891730785369873, 2.053459405899048, 2.2290287017822266, 5.809864044189453, 5.584717273712158, 3.159825325012207, 2.9682021141052246, 9.543525695800781]"
4,2020-10-30 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.11816145479679108, 0.10136732459068298, 0.15639181435108185, 0.2071288824081421, 0.20673425495624542, 0.07351922243833542, 0.15986618399620056, 0.1324848234653473, 0.19889762997627258]","[0.05769357830286026, 0.0362335704267025, 0.04157240316271782, 0.06839179247617722, 0.03349348530173302, 0.03607751056551933, 0.04440530762076378, 0.05102330073714256, 0.047484010457992554]","[2.0480868816375732, 2.797607898712158, 3.7619142532348633, 3.0285634994506836, 6.172372341156006, 2.0378129482269287, 3.6001594066619873, 2.596555233001709, 4.188728332519531]"
5,2020-11-05 14:07:35,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.15030553936958313, 0.1483943909406662, 0.3260199725627899, 0.20173172652721405, 0.2866602838039398, 0.24794773757457733, 0.18749791383743286, 0.22632014751434326, 0.18003274500370026]","[0.057357314974069595, 0.0687381774187088, 0.03327222168445587, 0.11606474220752716, 0.05509178712964058, 0.0444210059940815, 0.04556158185005188, 0.033035457134246826, 0.05058028921484947]","[2.620512008666992, 2.1588351726531982, 9.798563003540039, 1.7380965948104858, 5.20332145690918, 5.581767559051514, 4.11526346206665, 6.850825309753418, 3.5593459606170654]"
6,2020-11-11 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.1110958680510521, 0.16871196031570435, 0.21686534583568573, 0.19304567575454712, 0.31350675225257874, 0.11264531314373016, 0.14771486818790436, 0.17746086418628693, 0.1268928349018097]","[0.04782919958233833, 0.054767198860645294, 0.03158280625939369, 0.04963380843400955, 0.052231814712285995, 0.03147502243518829, 0.04062396287918091, 0.04989921674132347, 0.03407646715641022]","[2.3227624893188477, 3.08052921295166, 6.866563320159912, 3.8893988132476807, 6.002218246459961, 3.5788795948028564, 3.636151075363159, 3.5563857555389404, 3.7237672805786133]"
7,2020-11-17 14:07:35,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.218287393450737, 0.18390336632728577, 0.09936149418354034, 0.19080905616283417, 0.247624471783638, 0.1385086625814438, 0.18296951055526733, 0.19947609305381775, 0.13436119258403778]","[0.038135968148708344, 0.07339443266391754, 0.048431605100631714, 0.052402567118406296, 0.059001799672842026, 0.042460549622774124, 0.035515639930963516, 0.07930760085582733, 0.026644336059689522]","[5.723924160003662, 2.505685567855835, 2.051583766937256, 3.6412158012390137, 4.196897029876709, 3.2620553970336914, 5.151801109313965, 2.5152204036712646, 5.042767524719238]"
8,2020-11-23 14:06:50,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.14434589445590973, 0.2404438853263855, 0.129998579621315, 0.18869620561599731, 0.18110837042331696, 0.18929454684257507, 0.11750314384698868, 0.23262135684490204, 0.31110823154449463]","[0.035202499479055405, 0.05158087983727455, 0.03657704219222069, 0.026344407349824905, 0.03311711177229881, 0.04723536595702171, 0.032670050859451294, 0.03943584859371185, 0.037351686507463455]","[4.100444316864014, 4.661492347717285, 3.554103136062622, 7.1626667976379395, 5.468724727630615, 4.007474899291992, 3.5966625213623047, 5.898728370666504, 8.329161643981934]"
9,2020-11-29 14:07:35,T042-088909-IW2,166,-120.95294731834,38.9498877400107,"[0.260352224111557, 0.22905975580215454, 0.11710624396800995, 0.11921825259923935, 0.21484999358654022, 0.2193903774023056, 0.1770530343055725, 0.24871715903282166, 0.1497470736503601]","[0.0285666324198246, 0.049792785197496414, 0.03883150592446327, 0.04696609079837799, 0.03032688982784748, 0.02420789562165737, 0.053889770060777664, 0.03854930400848389, 0.05628515034914017]","[9.11385726928711, 4.600259780883789, 3.0157532691955566, 2.5383899211883545, 7.084471702575684, 9.062761306762695, 3.285466432571411, 6.451923370361328, 2.6605076789855957]"
