job_name,zip_url,s3_uri,browse_url,product_request_time,processing_duration,high_confidence_alert_threshold,mgrs_tile_id,post_date_buffer_days,stride_for_norm_param_estimation,n_workers_for_norm_param_estimation,delta_lookback_days_mw,use_date_encoding,model_source,memory_strategy,batch_size_for_norm_param_estimation,model_context_length,post_date,track_number,low_confidence_alert_threshold,n_workers_for_despeckling,device,max_pre_imgs_per_burst_mw,model_compilation
monkey_creek_fire_2024__2024-07-18__11TLK__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/4cb755e0-6993-475a-b6b0-de9ba77f3e5e/OPERA_L3_DIST-ALERT-S1_T11TLK_20240811T135807Z_20251215T212424Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa4cb755e0-6993-475a-b6b0-de9ba77f3e5e/OPERA_L3_DIST-ALERT-S1_T11TLK_20240811T135807Z_20251215T212424Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/4cb755e0-6993-475a-b6b0-de9ba77f3e5e/OPERA_L3_DIST-ALERT-S1_T11TLK_20240811T135807Z_20251215T212424Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,885.166,4.5,11TLK,1,23,4,none,False,transformer_v1_32,high,32,20,2024-08-11,144,2.5,4,best,none,False
brazzaville_flood_and_landslides_2024__2024-02-08__33MWR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/4d3a357f-f261-4953-9385-d0dbff758b03/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212416Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa4d3a357f-f261-4953-9385-d0dbff758b03/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212416Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/4d3a357f-f261-4953-9385-d0dbff758b03/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212416Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,874.834,4.5,33MWR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-02-04,7,2.5,4,best,none,False
brazzaville_flood_and_landslides_2024__2024-02-08__33MWR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ff3e8997-6a80-441b-ae53-a197f5937fd3/OPERA_L3_DIST-ALERT-S1_T33MWR_20240123T044346Z_20251215T212649Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9paff3e8997-6a80-441b-ae53-a197f5937fd3/OPERA_L3_DIST-ALERT-S1_T33MWR_20240123T044346Z_20251215T212649Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ff3e8997-6a80-441b-ae53-a197f5937fd3/OPERA_L3_DIST-ALERT-S1_T33MWR_20240123T044346Z_20251215T212649Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1035.146,4.5,33MWR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-01-23,7,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SME__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/2f6e1c90-7e5e-4b04-ab58-d6fe7ec749b9/OPERA_L3_DIST-ALERT-S1_T14SME_20240216T004509Z_20251215T212508Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa2f6e1c90-7e5e-4b04-ab58-d6fe7ec749b9/OPERA_L3_DIST-ALERT-S1_T14SME_20240216T004509Z_20251215T212508Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/2f6e1c90-7e5e-4b04-ab58-d6fe7ec749b9/OPERA_L3_DIST-ALERT-S1_T14SME_20240216T004509Z_20251215T212508Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,924.953,4.5,14SME,1,23,4,none,False,transformer_v1_32,high,32,20,2024-02-16,5,2.5,4,best,none,False
smokehouse_creek_fire_2024__2024-02-26__14SKE__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e0d69969-8ad9-449c-8db7-754939b4dc16/OPERA_L3_DIST-ALERT-S1_T14SKE_20240404T124635Z_20251215T212604Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pae0d69969-8ad9-449c-8db7-754939b4dc16/OPERA_L3_DIST-ALERT-S1_T14SKE_20240404T124635Z_20251215T212604Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/e0d69969-8ad9-449c-8db7-754939b4dc16/OPERA_L3_DIST-ALERT-S1_T14SKE_20240404T124635Z_20251215T212604Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1004.418,4.5,14SKE,1,23,4,none,False,transformer_v1_32,high,32,20,2024-04-04,12,2.5,4,best,none,False
brazzaville_flood_and_landslides_2024__2024-02-08__33MWR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/9fa907a7-e249-4eea-bcb7-254c8ff9eb31/OPERA_L3_DIST-ALERT-S1_T33MWR_20240311T044345Z_20251215T212122Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa9fa907a7-e249-4eea-bcb7-254c8ff9eb31/OPERA_L3_DIST-ALERT-S1_T33MWR_20240311T044345Z_20251215T212122Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/9fa907a7-e249-4eea-bcb7-254c8ff9eb31/OPERA_L3_DIST-ALERT-S1_T33MWR_20240311T044345Z_20251215T212122Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,702.378,4.5,33MWR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-03-11,7,2.5,4,best,none,False
brazzaville_flood_and_landslides_2023__2023-12-28__33MWR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/92e8c2c9-c37d-433c-8e38-79202b85253c/OPERA_L3_DIST-ALERT-S1_T33MWR_20231225T043538Z_20251215T213732Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa92e8c2c9-c37d-433c-8e38-79202b85253c/OPERA_L3_DIST-ALERT-S1_T33MWR_20231225T043538Z_20251215T213732Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/92e8c2c9-c37d-433c-8e38-79202b85253c/OPERA_L3_DIST-ALERT-S1_T33MWR_20231225T043538Z_20251215T213732Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1708.612,4.5,33MWR,1,23,4,none,False,transformer_v1_32,high,32,20,2023-12-25,109,2.5,4,best,none,False
monkey_creek_fire_2024__2024-07-18__11TLK__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f8105507-6c32-42e1-ad05-55156c7fe79c/OPERA_L3_DIST-ALERT-S1_T11TLK_20240904T135807Z_20251215T212246Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9paf8105507-6c32-42e1-ad05-55156c7fe79c/OPERA_L3_DIST-ALERT-S1_T11TLK_20240904T135807Z_20251215T212246Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/f8105507-6c32-42e1-ad05-55156c7fe79c/OPERA_L3_DIST-ALERT-S1_T11TLK_20240904T135807Z_20251215T212246Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,827.966,4.5,11TLK,1,23,4,none,False,transformer_v1_32,high,32,20,2024-09-04,144,2.5,4,best,none,False
southwest_france_flood_2023__2023-12-14__30TYR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/617b6a14-fecf-4baa-b4b4-1e78e2140d9b/OPERA_L3_DIST-ALERT-S1_T30TYR_20240107T174819Z_20251215T213240Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa617b6a14-fecf-4baa-b4b4-1e78e2140d9b/OPERA_L3_DIST-ALERT-S1_T30TYR_20240107T174819Z_20251215T213240Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/617b6a14-fecf-4baa-b4b4-1e78e2140d9b/OPERA_L3_DIST-ALERT-S1_T30TYR_20240107T174819Z_20251215T213240Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,1418.316,4.5,30TYR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-01-07,132,2.5,4,best,none,False
brazzaville_flood_and_landslides_2023__2023-12-28__33MWR__transformer_v1_32-20mc,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ef9a9e14-3421-411e-b12f-05c793b71428/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212109Z_S1A_30_v0.1.zip,s3://hyp3-tibet-jpl-test-contentbucket-hratibh1y9paef9a9e14-3421-411e-b12f-05c793b71428/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212109Z_S1A_30_v0.1,https://hyp3-tibet-jpl-test-contentbucket-hratibh1y9pa.s3.us-west-2.amazonaws.com/ef9a9e14-3421-411e-b12f-05c793b71428/OPERA_L3_DIST-ALERT-S1_T33MWR_20240204T044346Z_20251215T212109Z_S1A_30_v0.1.png,2025-12-15T20:48:28+00:00,724.236,4.5,33MWR,1,23,4,none,False,transformer_v1_32,high,32,20,2024-02-04,7,2.5,4,best,none,False
